"code","name","use_type"
"A","Anode","site"
"Z","Destroyed","site"
"D","Drain","site"
"E","Geothermal","site"
"H","Heat reservoir","site"
"M","Mine","site"
"O","Observation","site"
"P","Oil or gas","site"
"R","Recharge","site"
"S","Repressurize","site"
"G","Seismic","site"
"C","Standby","site"
"T","Test","site"
"N","Unknown","site"
"U","Unused","site"
"X","Waste-disposal","site"
"W","Withdrawal","site"
"V","Wthdrwl/Rtrn","site"
"A","Air conditioning","water"
"Q","Aquaculture","water"
"B","Bottling","water"
"C","Commercial","water"
"J","Cooling","water"
"Y","Desalination","water"
"D","Dewatering","water"
"H","Domestic","water"
"F","Fire protection","water"
"N","Industrial","water"
"T","Institutional","water"
"I","Irrigation","water"
"M","Medicinal","water"
"K","Mining","water"
"Z","Other","water"
"E","Power generation","water"
"P","Public supply","water"
"R","Recreation","water"
"S","Stock supply","water"
"U","Unused","water"
